id,created_at,original_text
ID000356,2020-08-20,dear louistomlinson lthqofficial andrea fan spain spanish fans add anot
ID000357,2020-08-20,people obesity blood levels hormone called adiponectin studies mice adip
ID000358,2020-08-20,educators students parents school closes coronavirus cases pi
ID000359,2020-08-20,covid19 cases identified simon sanchez john kennedy high schools pnc news
ID000360,2020-08-20,mortality rate capita 200 deaths aug 19 11pm 1 1163 citizens die
ID000361,2020-08-20,gaddyvotesblue good thoughts happiness son lost job health
ID000362,2020-08-20,bsl users british sign language bsl translations health topics including covid19
ID000363,2020-08-20,early pandemic mistakes costing longhaulers dearly testing screwups febmar meant tested
ID000364,2020-08-20,big admissionyoung people driving pandemicwho finally acknowledged young people 20s40s increasingly driving
ID000365,2020-08-20,
ID000366,2020-08-20,
ID000367,2020-08-20,deadly crisis aged care continues damage scott morrison indicating government warn
ID000368,2020-08-20,ive uploaded logo redbubble shop check link explore
ID000369,2020-08-20,head worldbank calls debt relief plan poorer countries warning covid19 recession turning
ID000370,2020-08-20,maintain distance coughing sneezing fever
ID000371,2020-08-20,tonight urbantvuganda 0930 pm dont owekitiibwa anmakubuya nickwassajja
ID000372,2020-08-20,masks oneway valves vents air exhaled hole material result expelled resp
ID000373,2020-08-20,good morning twitterfriends happy monday beautiful week
ID000374,2020-08-20,create environment rehearsals cast crew feel safe 46
ID000375,2020-08-20,fake microsoft teams notification emails hitting inboxes info tx helpnetsecurity
ID000376,2020-08-20,tens thousands unnecessary deaths fault blame covid19 level fiasco fault blame ofqual
ID000377,2020-08-20,department health reports 4339 cases covid19 bringing total number cases 17802
ID000378,2020-08-20,good morning twitterfriendshappy tuesday
ID000379,2020-08-20,navigating covid19 pandemic life lockdown
ID000380,2020-08-20,reassure people port cork normal weather conditions sa
ID000381,2020-08-20,zealands strict lockdown covid19 ruled unlawful mailonline
ID000382,2020-08-20,point crisis zimbabwe silent genocide hospitals happened
ID000383,2020-08-20,minister stephen donnelly risk driving car higher pandemic
ID000384,2020-08-20,connection clip current situation spot funny pranks video
ID000385,2020-08-20,young people driving covid19 spread experts
ID000386,2020-08-20,march scott morrison announced 1b tourism fund todays committee heard delivered nohing touris
