id,created_at,original_text,neg,neu,pos,compound,neg.1,neu.1,pos.1,compound.1,neg.2,neu.2,pos.2,compound.2,neg,neu,pos,compound
ID000118,2020-06-01,lockdown parents concerned plans reopen schools 2 lakh petition govt ht,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000119,2020-06-01,weve launched dedicated uk data service theme plenty resources check,0.0,0.64,0.36,0.5423,0.0,0.64,0.36,0.5423,0.0,0.64,0.36,0.5423,0.0,0.64,0.36,0.5423
ID000120,2020-06-01,men latest info community mens stories,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000121,2020-06-01,father driver servants son servant sohinichats searing piece naukar indian cinema htt,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000122,2020-06-01,diamondandsilk rara 2020 update protest guidelines washington dc mayor bowser curre,0.167,0.833,0.0,-0.25,0.167,0.833,0.0,-0.25,0.167,0.833,0.0,-0.25,0.167,0.833,0.0,-0.25
ID000123,2020-06-01,sohinichat writes hindi movies romanticisation domestic distant truth actual reality,0.0,0.796,0.204,0.3182,0.0,0.796,0.204,0.3182,0.0,0.796,0.204,0.3182,0.0,0.796,0.204,0.3182
ID000124,2020-06-01,mec thabo mokone arrives seshego circle complex monitor compliance regulations,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000125,2020-06-01,deaths happened blue cities rioting happened blue cities living democr,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000126,2020-06-01,govt urged roll ict program address job losses businessghana,0.252,0.748,0.0,-0.4019,0.252,0.748,0.0,-0.4019,0.252,0.748,0.0,-0.4019,0.252,0.748,0.0,-0.4019
ID000127,2020-06-01,effects people severe amp mild study nyu algorithms predic,0.245,0.755,0.0,-0.3818,0.245,0.755,0.0,-0.3818,0.245,0.755,0.0,-0.3818,0.245,0.755,0.0,-0.3818
ID000128,2020-06-01,shanti foundation distributes thousands ration bags needy crisis,0.52,0.48,0.0,-0.7579,0.52,0.48,0.0,-0.7579,0.52,0.48,0.0,-0.7579,0.52,0.48,0.0,-0.7579
ID000129,2020-06-01,health min approves single repository medical records citizens modelled national digital health blueprint,0.0,0.816,0.184,0.4019,0.0,0.816,0.184,0.4019,0.0,0.816,0.184,0.4019,0.0,0.816,0.184,0.4019
ID000130,2020-06-01,truck drivers local global food supply chains afloat read,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000131,2020-06-01,latest nassau coronavirus update catch happened day gt,0.0,0.769,0.231,0.2732,0.0,0.769,0.231,0.2732,0.0,0.769,0.231,0.2732,0.0,0.769,0.231,0.2732
ID000132,2020-06-01,photographer teamed christiesinc auction 25 portraits relief includi,0.0,0.693,0.307,0.4767,0.0,0.693,0.307,0.4767,0.0,0.693,0.307,0.4767,0.0,0.693,0.307,0.4767
ID000133,2020-06-01,clinical tips check health regrading 19 frm pak physician association 1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
